"year","causeOfDeath","sex","deaths"
1907,"All causes combined","Males",25939
1907,"All causes combined","Females",19366
1907,"All causes combined","Total",45305
1908,"All causes combined","Males",26632
1908,"All causes combined","Females",19794
1908,"All causes combined","Total",46426
1909,"All causes combined","Males",25514
1909,"All causes combined","Females",18658
1909,"All causes combined","Total",44172
1910,"All causes combined","Males",26154
1910,"All causes combined","Females",19436
1910,"All causes combined","Total",45590
1911,"All causes combined","Males",27591
1911,"All causes combined","Females",20278
1911,"All causes combined","Total",47869
1912,"All causes combined","Males",30285
1912,"All causes combined","Females",21892
1912,"All causes combined","Total",52177
1913,"All causes combined","Males",29859
1913,"All causes combined","Females",21930
1913,"All causes combined","Total",51789
1914,"All causes combined","Males",29835
1914,"All causes combined","Females",21885
1914,"All causes combined","Total",51720
1915,"All causes combined","Males",30654
1915,"All causes combined","Females",22128
1915,"All causes combined","Total",52782
1916,"All causes combined","Males",31018
1916,"All causes combined","Females",23179
1916,"All causes combined","Total",54197
1917,"All causes combined","Males",27609
1917,"All causes combined","Females",20420
1917,"All causes combined","Total",48029
1918,"All causes combined","Males",28585
1918,"All causes combined","Females",21664
1918,"All causes combined","Total",50249
1919,"All causes combined","Males",37632
1919,"All causes combined","Females",28298
1919,"All causes combined","Total",65930
1920,"All causes combined","Males",32053
1920,"All causes combined","Females",24236
1920,"All causes combined","Total",56289
1921,"All causes combined","Males",30652
1921,"All causes combined","Females",23424
1921,"All causes combined","Total",54076
1922,"All causes combined","Males",29245
1922,"All causes combined","Females",22066
1922,"All causes combined","Total",51311
1923,"All causes combined","Males",31622
1923,"All causes combined","Females",24614
1923,"All causes combined","Total",56236
1924,"All causes combined","Males",31103
1924,"All causes combined","Females",23877
1924,"All causes combined","Total",54980
1925,"All causes combined","Males",31134
1925,"All causes combined","Females",23434
1925,"All causes combined","Total",54568
1926,"All causes combined","Males",32387
1926,"All causes combined","Females",24565
1926,"All causes combined","Total",56952
1927,"All causes combined","Males",32858
1927,"All causes combined","Females",25424
1927,"All causes combined","Total",58282
1928,"All causes combined","Males",33145
1928,"All causes combined","Females",26233
1928,"All causes combined","Total",59378
1929,"All causes combined","Males",34718
1929,"All causes combined","Females",26139
1929,"All causes combined","Total",60857
1930,"All causes combined","Males",31148
1930,"All causes combined","Females",24183
1930,"All causes combined","Total",55331
1931,"All causes combined","Males",31796
1931,"All causes combined","Females",24764
1931,"All causes combined","Total",56560
1932,"All causes combined","Males",31860
1932,"All causes combined","Females",24897
1932,"All causes combined","Total",56757
1933,"All causes combined","Males",33250
1933,"All causes combined","Females",25867
1933,"All causes combined","Total",59117
1934,"All causes combined","Males",34562
1934,"All causes combined","Females",27658
1934,"All causes combined","Total",62220
1935,"All causes combined","Males",35691
1935,"All causes combined","Females",27908
1935,"All causes combined","Total",63599
1936,"All causes combined","Males",35651
1936,"All causes combined","Females",28281
1936,"All causes combined","Total",63932
1937,"All causes combined","Males",36246
1937,"All causes combined","Females",28250
1937,"All causes combined","Total",64496
1938,"All causes combined","Males",37046
1938,"All causes combined","Females",29405
1938,"All causes combined","Total",66451
1939,"All causes combined","Males",38837
1939,"All causes combined","Females",30310
1939,"All causes combined","Total",69147
1940,"All causes combined","Males",38608
1940,"All causes combined","Females",29776
1940,"All causes combined","Total",68384
1941,"All causes combined","Males",39409
1941,"All causes combined","Females",31767
1941,"All causes combined","Total",71176
1942,"All causes combined","Males",41587
1942,"All causes combined","Females",33604
1942,"All causes combined","Total",75191
1943,"All causes combined","Males",40778
1943,"All causes combined","Females",33708
1943,"All causes combined","Total",74486
1944,"All causes combined","Males",37820
1944,"All causes combined","Females",31776
1944,"All causes combined","Total",69596
1945,"All causes combined","Males",38211
1945,"All causes combined","Females",32020
1945,"All causes combined","Total",70231
1946,"All causes combined","Males",41283
1946,"All causes combined","Females",33378
1946,"All causes combined","Total",74661
1947,"All causes combined","Males",40769
1947,"All causes combined","Females",32699
1947,"All causes combined","Total",73468
1948,"All causes combined","Males",42655
1948,"All causes combined","Females",34184
1948,"All causes combined","Total",76839
1949,"All causes combined","Males",42195
1949,"All causes combined","Females",33065
1949,"All causes combined","Total",75260
1950,"All causes combined","Males",43720
1950,"All causes combined","Females",34467
1950,"All causes combined","Total",78187
1951,"All causes combined","Males",45953
1951,"All causes combined","Females",35835
1951,"All causes combined","Total",81788
1952,"All causes combined","Males",45851
1952,"All causes combined","Females",35746
1952,"All causes combined","Total",81597
1953,"All causes combined","Males",44822
1953,"All causes combined","Females",35366
1953,"All causes combined","Total",80188
1954,"All causes combined","Males",45787
1954,"All causes combined","Females",36018
1954,"All causes combined","Total",81805
1955,"All causes combined","Males",46188
1955,"All causes combined","Females",35848
1955,"All causes combined","Total",82036
1956,"All causes combined","Males",48192
1956,"All causes combined","Females",37896
1956,"All causes combined","Total",86088
1957,"All causes combined","Males",47659
1957,"All causes combined","Females",37294
1957,"All causes combined","Total",84953
1958,"All causes combined","Males",47050
1958,"All causes combined","Females",36673
1958,"All causes combined","Total",83723
1959,"All causes combined","Males",50293
1959,"All causes combined","Females",38919
1959,"All causes combined","Total",89212
1960,"All causes combined","Males",49629
1960,"All causes combined","Females",38835
1960,"All causes combined","Total",88464
1961,"All causes combined","Males",50248
1961,"All causes combined","Females",38713
1961,"All causes combined","Total",88961
1962,"All causes combined","Males",52378
1962,"All causes combined","Females",40785
1962,"All causes combined","Total",93163
1963,"All causes combined","Males",53212
1963,"All causes combined","Females",41682
1963,"All causes combined","Total",94894
1964,"All causes combined","Males",56246
1964,"All causes combined","Females",44348
1964,"All causes combined","Total",100594
1965,"All causes combined","Males",55770
1965,"All causes combined","Females",43945
1965,"All causes combined","Total",99715
1966,"All causes combined","Males",57795
1966,"All causes combined","Females",46134
1966,"All causes combined","Total",103929
1967,"All causes combined","Males",57508
1967,"All causes combined","Females",45195
1967,"All causes combined","Total",102703
1968,"All causes combined","Males",61061
1968,"All causes combined","Females",48486
1968,"All causes combined","Total",109547
1969,"All causes combined","Males",59686
1969,"All causes combined","Females",46810
1969,"All causes combined","Total",106496
1970,"All causes combined","Males",62828
1970,"All causes combined","Females",50220
1970,"All causes combined","Total",113048
1971,"All causes combined","Males",61074
1971,"All causes combined","Females",49576
1971,"All causes combined","Total",110650
1972,"All causes combined","Males",61116
1972,"All causes combined","Females",48644
1972,"All causes combined","Total",109760
1973,"All causes combined","Males",61588
1973,"All causes combined","Females",49234
1973,"All causes combined","Total",110822
1974,"All causes combined","Males",64299
1974,"All causes combined","Females",51534
1974,"All causes combined","Total",115833
1975,"All causes combined","Males",60738
1975,"All causes combined","Females",48283
1975,"All causes combined","Total",109021
1976,"All causes combined","Males",62527
1976,"All causes combined","Females",50135
1976,"All causes combined","Total",112662
1977,"All causes combined","Males",60320
1977,"All causes combined","Females",48470
1977,"All causes combined","Total",108790
1978,"All causes combined","Males",60281
1978,"All causes combined","Females",48144
1978,"All causes combined","Total",108425
1979,"All causes combined","Males",59257
1979,"All causes combined","Females",47311
1979,"All causes combined","Total",106568
1980,"All causes combined","Males",60518
1980,"All causes combined","Females",48177
1980,"All causes combined","Total",108695
1981,"All causes combined","Males",60696
1981,"All causes combined","Females",48307
1981,"All causes combined","Total",109003
1982,"All causes combined","Males",63295
1982,"All causes combined","Females",51476
1982,"All causes combined","Total",114771
1983,"All causes combined","Males",60450
1983,"All causes combined","Females",49634
1983,"All causes combined","Total",110084
1984,"All causes combined","Males",59987
1984,"All causes combined","Females",49927
1984,"All causes combined","Total",109914
1985,"All causes combined","Males",64156
1985,"All causes combined","Females",54652
1985,"All causes combined","Total",118808
1986,"All causes combined","Males",62210
1986,"All causes combined","Females",52771
1986,"All causes combined","Total",114981
1987,"All causes combined","Males",63609
1987,"All causes combined","Females",53710
1987,"All causes combined","Total",117319
1988,"All causes combined","Males",65080
1988,"All causes combined","Females",54784
1988,"All causes combined","Total",119864
1989,"All causes combined","Males",66926
1989,"All causes combined","Females",57306
1989,"All causes combined","Total",124232
1990,"All causes combined","Males",64658
1990,"All causes combined","Females",55402
1990,"All causes combined","Total",120060
1991,"All causes combined","Males",64067
1991,"All causes combined","Females",55079
1991,"All causes combined","Total",119146
1992,"All causes combined","Males",66115
1992,"All causes combined","Females",57545
1992,"All causes combined","Total",123660
1993,"All causes combined","Males",65089
1993,"All causes combined","Females",56510
1993,"All causes combined","Total",121599
1994,"All causes combined","Males",67464
1994,"All causes combined","Females",59228
1994,"All causes combined","Total",126692
1995,"All causes combined","Males",66251
1995,"All causes combined","Females",58882
1995,"All causes combined","Total",125133
1996,"All causes combined","Males",68206
1996,"All causes combined","Females",60513
1996,"All causes combined","Total",128719
1997,"All causes combined","Males",67752
1997,"All causes combined","Females",61598
1997,"All causes combined","Total",129350
1998,"All causes combined","Males",67073
1998,"All causes combined","Females",60129
1998,"All causes combined","Total",127202
1999,"All causes combined","Males",67227
1999,"All causes combined","Females",60875
1999,"All causes combined","Total",128102
2000,"All causes combined","Males",66817
2000,"All causes combined","Females",61474
2000,"All causes combined","Total",128291
2001,"All causes combined","Males",66835
2001,"All causes combined","Females",61709
2001,"All causes combined","Total",128544
2002,"All causes combined","Males",68885
2002,"All causes combined","Females",64822
2002,"All causes combined","Total",133707
2003,"All causes combined","Males",68330
2003,"All causes combined","Females",63962
2003,"All causes combined","Total",132292
2004,"All causes combined","Males",68395
2004,"All causes combined","Females",64113
2004,"All causes combined","Total",132508
2005,"All causes combined","Males",67241
2005,"All causes combined","Females",63473
2005,"All causes combined","Total",130714
2006,"All causes combined","Males",68556
2006,"All causes combined","Females",65183
2006,"All causes combined","Total",133739
2007,"All causes combined","Males",70569
2007,"All causes combined","Females",67285
2007,"All causes combined","Total",137854
2008,"All causes combined","Males",73548
2008,"All causes combined","Females",70398
2008,"All causes combined","Total",143946
2009,"All causes combined","Males",72320
2009,"All causes combined","Females",68440
2009,"All causes combined","Total",140760
2010,"All causes combined","Males",73484
2010,"All causes combined","Females",69989
2010,"All causes combined","Total",143473
2011,"All causes combined","Males",75330
2011,"All causes combined","Females",71602
2011,"All causes combined","Total",146932
2012,"All causes combined","Males",74794
2012,"All causes combined","Females",72304
2012,"All causes combined","Total",147098
2013,"All causes combined","Males",75782
2013,"All causes combined","Females",71896
2013,"All causes combined","Total",147678
2014,"All causes combined","Males",78341
2014,"All causes combined","Females",75239
2014,"All causes combined","Total",153580
1979,"Dementia and Alzheimer disease","Males",175
1979,"Dementia and Alzheimer disease","Females",297
1979,"Dementia and Alzheimer disease","Total",472
1980,"Dementia and Alzheimer disease","Males",228
1980,"Dementia and Alzheimer disease","Females",357
1980,"Dementia and Alzheimer disease","Total",585
1981,"Dementia and Alzheimer disease","Males",253
1981,"Dementia and Alzheimer disease","Females",366
1981,"Dementia and Alzheimer disease","Total",619
1982,"Dementia and Alzheimer disease","Males",292
1982,"Dementia and Alzheimer disease","Females",500
1982,"Dementia and Alzheimer disease","Total",792
1983,"Dementia and Alzheimer disease","Males",273
1983,"Dementia and Alzheimer disease","Females",423
1983,"Dementia and Alzheimer disease","Total",696
1984,"Dementia and Alzheimer disease","Males",378
1984,"Dementia and Alzheimer disease","Females",553
1984,"Dementia and Alzheimer disease","Total",931
1985,"Dementia and Alzheimer disease","Males",532
1985,"Dementia and Alzheimer disease","Females",819
1985,"Dementia and Alzheimer disease","Total",1351
1986,"Dementia and Alzheimer disease","Males",512
1986,"Dementia and Alzheimer disease","Females",886
1986,"Dementia and Alzheimer disease","Total",1398
1987,"Dementia and Alzheimer disease","Males",602
1987,"Dementia and Alzheimer disease","Females",1067
1987,"Dementia and Alzheimer disease","Total",1669
1988,"Dementia and Alzheimer disease","Males",718
1988,"Dementia and Alzheimer disease","Females",1179
1988,"Dementia and Alzheimer disease","Total",1897
1989,"Dementia and Alzheimer disease","Males",778
1989,"Dementia and Alzheimer disease","Females",1406
1989,"Dementia and Alzheimer disease","Total",2184
1990,"Dementia and Alzheimer disease","Males",737
1990,"Dementia and Alzheimer disease","Females",1354
1990,"Dementia and Alzheimer disease","Total",2091
1991,"Dementia and Alzheimer disease","Males",766
1991,"Dementia and Alzheimer disease","Females",1338
1991,"Dementia and Alzheimer disease","Total",2104
1992,"Dementia and Alzheimer disease","Males",838
1992,"Dementia and Alzheimer disease","Females",1642
1992,"Dementia and Alzheimer disease","Total",2480
1993,"Dementia and Alzheimer disease","Males",923
1993,"Dementia and Alzheimer disease","Females",1765
1993,"Dementia and Alzheimer disease","Total",2688
1994,"Dementia and Alzheimer disease","Males",1094
1994,"Dementia and Alzheimer disease","Females",2180
1994,"Dementia and Alzheimer disease","Total",3274
1995,"Dementia and Alzheimer disease","Males",1102
1995,"Dementia and Alzheimer disease","Females",2251
1995,"Dementia and Alzheimer disease","Total",3353
1996,"Dementia and Alzheimer disease","Males",1260
1996,"Dementia and Alzheimer disease","Females",2543
1996,"Dementia and Alzheimer disease","Total",3803
1997,"Dementia and Alzheimer disease","Males",1059
1997,"Dementia and Alzheimer disease","Females",2235
1997,"Dementia and Alzheimer disease","Total",3294
1998,"Dementia and Alzheimer disease","Males",1089
1998,"Dementia and Alzheimer disease","Females",2155
1998,"Dementia and Alzheimer disease","Total",3244
1999,"Dementia and Alzheimer disease","Males",1125
1999,"Dementia and Alzheimer disease","Females",2302
1999,"Dementia and Alzheimer disease","Total",3427
2000,"Dementia and Alzheimer disease","Males",1121
2000,"Dementia and Alzheimer disease","Females",2534
2000,"Dementia and Alzheimer disease","Total",3655
2001,"Dementia and Alzheimer disease","Males",1177
2001,"Dementia and Alzheimer disease","Females",2563
2001,"Dementia and Alzheimer disease","Total",3740
2002,"Dementia and Alzheimer disease","Males",1390
2002,"Dementia and Alzheimer disease","Females",2974
2002,"Dementia and Alzheimer disease","Total",4364
2003,"Dementia and Alzheimer disease","Males",1351
2003,"Dementia and Alzheimer disease","Females",2924
2003,"Dementia and Alzheimer disease","Total",4275
2004,"Dementia and Alzheimer disease","Males",1414
2004,"Dementia and Alzheimer disease","Females",3192
2004,"Dementia and Alzheimer disease","Total",4606
2005,"Dementia and Alzheimer disease","Males",1434
2005,"Dementia and Alzheimer disease","Females",3219
2005,"Dementia and Alzheimer disease","Total",4653
2006,"Dementia and Alzheimer disease","Males",2076
2006,"Dementia and Alzheimer disease","Females",4474
2006,"Dementia and Alzheimer disease","Total",6550
2007,"Dementia and Alzheimer disease","Males",2414
2007,"Dementia and Alzheimer disease","Females",4904
2007,"Dementia and Alzheimer disease","Total",7318
2008,"Dementia and Alzheimer disease","Males",2708
2008,"Dementia and Alzheimer disease","Females",5464
2008,"Dementia and Alzheimer disease","Total",8172
2009,"Dementia and Alzheimer disease","Males",2788
2009,"Dementia and Alzheimer disease","Females",5492
2009,"Dementia and Alzheimer disease","Total",8280
2010,"Dementia and Alzheimer disease","Males",2920
2010,"Dementia and Alzheimer disease","Females",6083
2010,"Dementia and Alzheimer disease","Total",9003
